LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
210000,1,2,1,34,3,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,1
480000,1,2,2,51,0,0,0,0,0,0,2900,17646,0,15620,5200,1355,17646,0,15620,5200,1355,2750,0
360000,1,1,1,44,0,0,0,0,0,0,165,165,165,165,165,165,165,165,165,165,165,165,0
260000,2,2,1,50,0,0,0,0,0,0,263320,171626,175869,180891,184952,182328,7000,7000,8000,7032,13603,5000,0
280000,2,2,1,30,2,0,0,0,0,0,18925,20223,15883,15547,14472,15086,1976,2000,1600,1000,1000,1100,1
200000,2,4,1,39,0,0,0,0,0,0,20218,25242,3930,0,0,0,25267,3930,0,0,0,0,0
160000,2,2,2,28,0,0,0,2,0,0,968,708,1841,441,3438,3046,710,1913,0,3456,3054,1224,0
380000,1,1,1,36,0,0,0,0,0,0,28057,14266,22101,24038,41215,35010,14412,22211,24159,41417,35184,2109,0
330000,1,1,1,57,0,0,0,0,0,0,3166,-206,3429,0,0,749,552,5726,0,0,749,799,0
290000,2,2,2,24,0,0,0,0,0,0,230014,219207,215223,216261,217537,216014,8411,8600,7000,7300,7000,6000,0
170000,1,1,1,40,0,0,0,0,0,0,171841,171014,168142,169821,173014,163570,7540,7540,6301,6517,6035,6435,0
240000,1,1,1,35,0,0,0,0,0,0,2007,21790,17102,13367,22659,22707,21817,1120,13434,22772,22820,8050,0
300000,1,1,1,58,2,2,2,2,2,2,148265,158230,160242,156171,165556,169250,14000,6000,0,12000,6500,6500,1
360000,2,1,2,36,0,0,0,0,0,2,308711,305594,306176,304645,315118,315782,11000,13000,11019,23000,13300,3,0
330000,1,1,1,37,0,0,0,0,0,0,694,0,2023,-22,2870,860,0,2023,0,2892,1059,1727,0
260000,2,1,2,31,0,0,0,0,0,0,181679,187642,190152,186696,188632,190948,8900,7200,6800,7100,7200,6500,0
200000,2,3,1,28,0,0,2,0,0,0,188,2791,188,376,188,6884,2791,0,376,0,6884,4187,1
680000,2,1,2,30,0,0,0,0,0,0,39639,-45,10251,25094,7327,167520,0,10296,25219,7341,163123,7267,1
500000,1,1,1,46,0,0,0,0,0,0,0,0,1656,1400,0,0,0,1656,1400,0,0,0,0
270000,2,2,1,52,0,0,0,0,0,0,43210,45670,47625,49332,22950,25561,3500,3000,3000,3000,3000,4000,0
230000,1,2,2,30,0,0,0,0,0,0,171861,157389,161622,162501,163329,161560,10000,10000,8000,10000,7000,7000,0
200000,2,1,1,37,0,0,0,0,0,0,97821,97934,44716,42073,42867,33876,4220,2029,2073,2867,3876,2295,0
360000,1,1,1,58,0,0,0,0,0,0,5619,14822,43000,4650,12132,13953,15008,43065,4650,12132,13953,2200,0
360000,2,2,2,27,0,0,0,0,0,0,13102,5628,1480,2330,2286,4385,5655,1480,2330,2550,3000,3000,0
210000,1,3,2,66,0,0,0,0,0,0,209396,136809,139411,138991,140886,143721,6510,6450,5103,5500,5307,5011,0
260000,1,2,1,44,0,0,0,0,0,0,11506,973,1183,2270,0,0,975,1186,2287,0,0,2580,0
280000,2,1,2,29,0,0,0,0,0,0,0,0,320,2139,0,0,0,320,2139,0,0,0,0
190000,1,2,2,39,0,0,0,0,0,0,146224,149289,152886,156273,159800,162570,5500,6000,6000,6000,6000,6000,0
400000,1,1,2,48,0,0,0,0,0,0,112789,115910,120657,122338,124145,113477,5000,6624,5200,3826,3363,3398,0
300000,2,1,1,26,2,0,0,0,0,0,800,1946,2612,3408,1908,1108,1946,2612,1914,0,1108,530,0
290000,2,2,2,41,0,0,0,0,0,0,6959,6891,980,4059,2473,3332,6891,980,4059,2473,3332,3203,0
180000,2,2,1,43,0,0,0,0,0,0,7823,9549,1968,1800,8198,511,9549,1968,1800,8198,0,844,0
180000,2,1,2,32,1,2,2,0,0,0,17816,18247,33230,5168,0,0,1000,0,103,0,0,0,0
360000,1,1,1,38,0,0,0,0,0,0,2513,5023,6664,11358,15479,20934,5066,6704,11415,15556,21039,19073,0
300000,2,2,1,27,0,0,0,0,0,0,2200,1378,1109,0,474,337,1378,1422,0,474,337,1394,0
200000,2,1,2,29,0,0,0,0,0,0,5967,1892,26995,7601,6481,1610,1897,26995,7606,380,0,0,0
160000,2,2,2,39,0,0,0,0,0,0,163058,161485,161076,156478,122441,120574,6001,6401,6384,4600,4800,4400,0
310000,2,1,1,43,0,0,0,0,0,0,66140,66637,68131,68585,68657,55457,6000,10000,3018,4000,3000,3000,0
200000,2,2,1,29,0,0,0,0,0,0,61518,66541,53862,37056,19790,20842,25138,2569,793,49,15085,44701,0
470000,2,2,2,30,0,0,0,0,0,0,26549,25247,28019,27139,26923,28350,1420,5000,1408,2000,2000,10000,0
170000,2,1,2,40,0,0,0,0,0,0,15442,16869,21014,18517,9058,5035,2000,5020,2000,3000,1000,464,0
160000,2,1,1,51,0,0,0,0,0,0,63406,64176,2348,2447,10968,10934,2901,2348,2447,10968,531,208,0
200000,1,1,2,28,0,0,2,2,0,0,7464,22182,10373,2669,1024,170722,22182,7,0,6177,180722,5000,0
200000,2,3,1,41,1,0,0,0,0,0,0,340,0,148,148,198,340,0,148,0,198,7296,1
180000,2,1,2,28,0,0,0,0,0,2,90874,79901,82451,83201,77081,74441,3000,3900,3400,5600,0,2600,0
170000,2,2,1,27,0,0,0,0,0,0,164214,165825,167008,131544,125652,127224,8001,7077,5000,5000,5000,5000,0
490000,1,2,2,34,0,0,0,0,0,0,0,0,244033,224216,212123,214715,0,244033,15011,9003,9019,8000,0
180000,2,2,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210000,2,2,1,46,0,0,0,0,0,0,3095,2768,5536,2768,1075,2006,2768,5536,0,1075,2006,1344,1
230000,1,2,1,35,0,0,0,0,0,0,176853,180639,180117,179717,124117,182717,10000,5000,0,5000,189600,10000,0
240000,1,1,1,65,0,0,0,0,0,0,146696,149707,151780,152373,145763,148276,6930,6000,6000,6000,5500,6000,0
200000,2,1,2,27,0,0,0,0,0,0,62574,63814,65265,66234,62356,55080,2278,2473,2161,2075,1973,2000,0
500000,1,1,1,55,0,0,0,0,0,0,3925,11200,25509,9857,8945,9985,11253,25585,3,18,5034,5031,0
180000,2,2,1,41,0,0,0,0,0,0,184650,0,0,0,0,0,0,0,0,0,9000,0,0
240000,2,1,2,28,0,0,0,0,0,0,192551,236772,201463,187916,149293,150614,100050,10000,7000,10040,7000,6000,0
430000,2,1,1,35,0,0,0,0,0,0,3642,492,0,925,12151,39673,492,0,925,12151,29000,30000,0
180000,2,2,2,29,0,0,0,2,0,0,172271,179760,180488,142201,141826,125974,11600,9635,0,5245,5172,3726,1
260000,2,1,1,44,0,0,0,0,0,0,296349,300155,305798,306082,304048,14982,6891,8668,6907,6088,14982,12588,0
210000,2,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300000,2,2,1,38,0,0,0,0,0,0,5848,24718,45114,16949,9537,0,24718,45533,17136,0,0,0,0
500000,1,1,1,36,0,0,0,0,0,0,396,1043,19230,116696,194483,195454,1043,19230,100062,94503,10000,40000,0
320000,2,3,1,33,0,0,0,0,0,2,71047,19161,19829,17692,15648,15255,2000,1300,1600,2500,0,1000,0
240000,2,2,1,34,0,0,0,0,0,0,0,2712,92496,95057,96974,98977,2712,90000,3346,2717,2796,2826,0
310000,2,1,2,28,0,0,2,0,0,0,18877,18379,10327,17252,9917,33776,18417,48,17337,9965,33826,116,0
200000,2,4,2,42,0,0,0,0,0,0,5433,7328,0,0,2621,-72,2000,0,0,2621,0,0,0
210000,2,3,1,55,0,0,0,0,0,0,217016,204418,204377,146575,144521,147938,8049,9000,6000,5500,5816,5500,1
290000,2,1,1,37,0,0,0,0,0,0,54966,41327,24872,20318,26030,7258,4020,8000,0,16000,7258,10000,0
300000,1,2,2,36,0,0,0,0,0,0,15536,17923,27007,360,257,21140,10000,10140,360,257,21346,360,0
300000,2,3,1,39,0,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0
360000,2,1,1,48,0,0,0,0,0,0,485,-15,-15,12588,1243,-6,0,0,12603,1250,0,420,0
200000,2,2,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230000,1,2,1,45,0,0,0,0,0,0,42770,22080,16740,14029,1439,2269,2000,1347,3078,1509,9000,8000,0
500000,1,2,1,49,0,0,0,0,0,0,5157,77667,94159,95209,97952,202991,77677,20000,3500,4371,107500,0,0
210000,2,1,1,46,0,0,0,0,0,0,112901,110089,108775,107090,104037,101337,4910,3939,3792,3657,3631,3500,0
210000,1,2,1,46,0,0,0,0,0,0,0,1828,765,0,0,0,1828,765,0,0,0,0,0
150000,2,1,1,37,0,0,0,0,0,0,26416,18915,16047,17633,0,0,2497,16047,18776,0,0,0,0
180000,2,1,2,31,0,0,0,0,0,0,21760,22794,23801,24117,24468,25106,1689,1693,1009,888,1045,1077,0
250000,2,1,2,39,0,0,0,2,2,2,12368,1742,40292,39600,21304,1185,1742,39600,7,1185,0,54416,0
480000,2,2,2,31,0,0,0,0,0,0,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1759,1
500000,2,1,2,31,0,0,0,0,0,0,67475,72191,64130,45766,45324,55011,6000,2332,1219,5000,54000,110000,0
500000,2,1,2,44,0,0,0,0,0,0,29996,10625,14567,0,3808,6751,10625,14573,0,3808,6751,0,0
210000,2,1,1,34,1,0,0,0,2,0,-300,-716,416,1132,566,416,0,1548,1132,0,416,416,0
400000,2,1,1,40,0,0,0,0,0,0,3716,4318,273,743,516,200,4318,273,743,516,200,422,0
80000,2,1,2,23,0,0,0,0,0,0,1178,2550,182,-2194,2188,6424,2550,1026,1350,4382,6443,5438,0
350000,1,1,2,41,1,0,0,0,0,0,208,2906,1000,630,0,0,2906,1000,630,0,0,0,0
210000,1,1,1,28,0,0,0,0,0,0,124667,201007,144968,134975,136469,139866,145273,5065,5012,5000,5078,5000,0
410000,2,1,2,28,0,0,0,0,0,0,210866,109320,11546,858,0,1117,2444,3056,968,0,1117,0,0
250000,1,1,2,27,0,0,0,0,0,0,144525,183569,186020,186465,113336,0,43089,6959,110000,0,0,132818,0
200000,2,1,1,31,0,0,2,2,0,0,76621,82105,80662,75942,74090,72679,6808,3300,0,2720,2700,2700,0
180000,1,2,1,37,0,0,0,0,0,0,5480,11834,17380,8329,20406,9772,11850,17552,8333,20406,9772,9315,0
280000,2,2,2,25,1,2,0,0,0,0,6714,4526,3868,389,389,384,22,4277,390,390,385,166196,0
500000,2,2,1,43,0,0,0,0,0,0,53477,0,0,113904,116168,117375,0,0,113904,4130,4356,4103,0
200000,1,2,2,44,0,0,0,0,0,0,310,2226,1230,3393,1340,3416,2306,1234,3510,1344,3426,6324,0
360000,2,1,1,46,1,0,2,2,0,0,-200,2716,200,0,12140,42424,2916,0,0,12140,42424,19825,0
230000,2,2,1,29,0,0,0,0,0,0,30818,31209,32211,31647,34304,36849,2000,2000,1113,5000,5000,2000,0
240000,2,1,1,32,2,2,2,2,2,2,209368,204501,223137,226470,229706,234889,0,22000,8500,8500,9000,0,1
230000,1,2,1,34,0,0,0,0,0,0,1344,-6,2190,3475,1791,2993,0,2196,3485,1796,3002,2601,0
300000,1,1,1,40,0,0,0,0,0,0,4950,-337,-337,-337,-337,-337,0,0,0,0,0,2000,0
160000,2,1,1,33,0,0,0,0,0,0,5233,5393,1824,350,150,199,5401,1829,350,150,199,1145,0
300000,2,1,2,33,0,0,0,0,0,0,3854,142,0,0,0,0,142,0,0,0,0,0,0
200000,2,1,1,34,0,0,0,0,0,0,2955,5895,15146,11575,11564,13744,5938,15682,11633,11622,13813,22699,0
270000,2,2,1,32,0,0,0,0,0,0,3979,511,10069,9214,199,0,511,10069,186,199,0,0,0
180000,2,2,2,39,0,0,0,0,0,0,671,671,671,671,671,671,671,671,671,671,671,671,1
210000,1,2,1,45,0,0,0,0,0,0,1792,4339,4049,345,650,3217,4369,4049,348,650,3217,3912,1
240000,2,2,2,27,0,0,0,2,0,0,4400,0,1129,1129,1971,2059,0,1129,0,1000,496,1000,1
200000,1,1,1,41,0,0,0,0,0,0,90930,94502,93559,95060,88930,-23670,5032,2263,1901,1779,0,0,0
90000,1,1,2,23,0,0,0,0,0,0,90888,85293,69482,60244,22640,3270,6000,4008,30055,15050,3270,16488,0
280000,2,2,1,45,0,0,0,0,0,0,159633,149747,138933,128216,216598,103119,7000,6500,6500,3994,4000,3500,0
160000,2,2,3,41,0,0,0,0,0,0,8554,1375,2310,0,0,351,1000,1000,0,0,351,0,1
360000,2,1,2,54,0,0,0,0,0,0,132387,11590,70460,67357,71713,27399,11606,70579,10022,20000,27399,71429,0
290000,2,1,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230000,1,1,1,46,0,0,0,0,0,0,39900,1200,0,11211,0,0,1200,0,11211,0,0,0,0
170000,2,1,2,26,0,0,0,0,2,0,99387,102141,103972,108405,102303,99767,5250,5100,7500,0,3900,3600,0
300000,1,1,1,38,0,0,0,0,0,0,105932,100815,103744,103422,111152,110811,5137,30022,5006,10014,4016,4013,0
160000,2,1,2,26,0,0,0,0,0,0,118204,121695,125724,129157,130567,144266,6000,5030,6000,4000,15000,5000,0
320000,1,2,1,32,0,0,0,0,0,0,43265,28007,24986,23844,20650,0,1528,3019,2022,2000,0,82600,0
350000,2,1,1,36,0,0,0,0,0,0,1133,0,1342,2195,0,37800,0,1342,2195,0,37800,1000,0
180000,2,1,2,30,0,0,0,0,0,0,50055,5320,9758,6494,32830,3267,5320,10008,6500,32830,3267,2650,0
160000,1,2,1,59,0,0,0,0,0,0,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,1443,0
220000,2,2,2,29,0,0,0,0,0,0,217345,100501,74430,64485,24609,23419,4030,4000,4492,1000,1000,0,0
210000,2,3,2,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,2,2,2,28,3,2,2,2,2,2,110819,107629,113902,115543,118353,116298,0,9600,5000,4800,0,3900,1
200000,1,1,1,43,0,0,0,0,0,0,1144,2480,3372,1081,2384,6595,2506,3380,1085,2394,6601,29708,0
280000,2,1,1,36,0,0,0,0,0,0,4480,2120,1627,2649,0,0,2120,1627,2649,0,0,0,1
140000,2,2,1,26,0,0,0,0,0,0,129996,132004,127275,48724,48875,49667,7000,5000,2000,2000,2000,2000,0
150000,2,1,2,29,0,0,0,0,2,2,110018,47600,26219,17705,17920,17494,2400,1619,2550,800,0,700,0
470000,2,1,2,30,0,0,0,0,0,0,1689,499,350,2277,41523,2175,499,350,2277,41523,2175,6351,1
230000,2,2,1,46,0,0,0,0,0,0,4328,1518,1958,368,1613,1371,1518,1972,368,1613,1371,752,1
500000,2,2,2,34,0,0,0,0,0,0,2730,3926,17501,17194,9030,2180,5606,17501,2194,1030,2180,2012,0
310000,1,2,1,39,0,0,0,0,0,0,238973,237196,233854,219409,216540,210675,10029,9218,10029,8049,8040,10059,0
180000,2,1,1,40,0,0,0,0,0,0,15118,6041,1459,2178,2634,968,6047,3262,2178,2634,968,2432,0
450000,1,1,1,40,0,0,2,0,0,0,22861,19093,6576,9133,6918,12382,6596,0,6918,4351,8161,0,0
20000,2,2,2,23,2,2,7,7,7,6,2400,2400,2400,2400,2400,1800,0,0,0,0,0,0,1
210000,1,2,1,42,0,0,0,0,0,0,88498,168938,79989,69800,54256,48256,3555,2253,1404,1085,1652,5595,0
500000,1,1,1,46,0,0,0,0,0,0,11100,16966,10000,14218,62208,83611,16966,10000,14218,62500,83611,61880,0
360000,2,1,2,30,0,0,0,0,0,0,13861,7795,4489,10218,6509,15156,7884,4808,10044,4006,10046,12087,0
360000,1,3,1,55,0,0,0,0,0,0,9210,8485,17231,1770,0,0,6015,17454,1775,0,0,0,0
230000,1,2,2,32,0,0,0,0,0,0,49619,43435,41719,38072,33802,30435,2072,1689,1046,1025,928,277,0
160000,1,2,2,26,4,3,3,3,2,2,152924,152142,155201,157202,153311,162973,3200,7000,6000,0,12000,0,1
50000,2,3,2,22,0,0,0,0,0,0,46687,47831,48764,47109,39415,39920,1896,1829,1924,1308,1480,1171,1
320000,2,2,1,30,0,0,0,0,0,0,1031,1886,2913,-27,-27,5399,1895,2927,0,0,5426,3700,0
470000,1,1,2,35,0,0,0,0,0,0,393780,371511,318025,248281,254175,256613,15107,13111,10000,10014,9598,10044,0
500000,2,1,2,41,0,0,2,0,0,0,10386,34000,28854,92952,50089,2165,28854,0,70000,32000,2165,41242,0
170000,2,2,1,34,0,0,0,0,0,0,1837,1328,321,0,3857,0,1328,324,0,3857,0,253,0
180000,2,2,1,40,0,0,0,0,0,0,22523,20831,1537,-43,-43,-43,2045,1000,0,0,0,0,0
390000,1,2,2,28,0,0,0,0,0,0,149445,139794,133224,106127,51097,38555,8046,5150,5297,5084,5065,5042,0
170000,1,2,2,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000,1,1,1,44,0,0,0,0,0,0,4825,3003,6164,3370,7279,4445,3018,6201,3386,7299,1166,5,0
270000,2,2,1,50,0,0,0,0,0,0,22821,24949,26526,27778,29322,30677,2500,2000,2000,2000,2000,2000,0
230000,2,1,1,27,0,0,0,0,0,0,104001,106155,111244,116300,121346,130318,4000,6000,6000,6000,10000,11058,0
430000,2,1,1,37,0,0,0,0,0,0,1669,412,23547,5064,13258,2249,416,23547,5064,13258,2249,3686,0
210000,2,2,2,34,0,0,0,0,0,0,6769,12656,5570,2285,0,0,12660,5570,2285,0,0,0,0
310000,2,2,2,32,0,0,0,0,0,0,51007,50644,50109,49339,49177,48754,2200,2100,1700,2000,1800,2000,0
400000,2,2,2,41,0,0,0,0,0,0,366193,372700,375948,195991,152127,155182,14020,13595,6243,6007,6061,6012,0
260000,2,1,2,29,2,2,0,0,0,0,792,396,396,396,792,396,0,396,396,792,0,396,1
260000,2,1,2,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
310000,2,1,2,26,0,0,0,0,0,0,27283,28286,29427,29548,29839,30532,1459,1600,1607,898,1000,918,0
210000,2,1,2,44,0,0,0,0,0,0,125615,77485,79668,92326,30500,25265,5000,4000,3402,2013,1026,1000,0
250000,1,1,1,42,1,1,1,1,2,2,352016,341600,321232,307354,285901,272322,15210,8273,8100,100,8942,254000,1
180000,1,1,2,36,0,0,0,0,0,2,141489,84237,82508,81808,86024,67747,4000,3000,4000,9000,0,3000,0
220000,1,2,2,29,0,0,0,0,0,0,223773,223304,221631,182629,165314,161971,8391,9000,6901,6000,6000,6435,0
240000,2,3,2,49,0,0,0,0,2,0,1271,4241,7164,10041,9731,13540,3000,3000,3000,0,4000,3000,0
210000,2,1,2,37,0,0,0,0,0,0,430,1570,17036,73158,46823,1427,1570,17036,73158,936,29,630,0
450000,1,1,2,34,0,0,0,0,0,0,583,-16,2312,192,1630,14099,0,2328,192,1638,14169,1122,0
250000,2,2,2,36,0,0,0,0,0,0,62131,63238,51547,48483,49553,49683,2741,1741,1824,1942,2100,1366,0
390000,2,2,2,37,0,0,0,0,0,0,324452,309369,269703,266017,271657,245958,13106,10111,10005,11000,9007,9000,0
180000,1,3,1,54,0,0,0,0,0,0,149698,137260,124500,111430,98182,84598,4834,4371,3849,3405,2887,2402,1
430000,2,1,2,29,0,0,0,0,0,0,111409,114071,116749,118319,121351,125225,6000,6000,5000,5000,6000,5000,0
300000,2,2,2,28,0,0,0,0,0,0,199801,121321,94524,86637,78939,70689,5017,3200,3500,3000,3000,74000,0
260000,2,2,2,34,0,0,0,0,0,0,40066,38115,38730,37947,40122,34751,2000,3030,5039,7000,3000,10000,0
190000,2,2,1,48,2,2,2,2,0,0,90128,92367,94227,91943,93546,95759,4500,4100,0,3500,3600,3500,1
240000,2,2,1,41,0,0,0,0,0,0,20272,11294,16873,1143,4317,14940,1000,16906,1143,4317,14940,0,0
200000,1,1,2,29,0,0,0,2,0,0,9228,7532,7246,3506,2376,123687,2100,3320,0,2400,127187,2187,0
420000,2,2,1,41,0,0,0,0,0,0,373978,389754,366938,361024,354813,344221,33808,14996,13209,12890,11081,16298,1
470000,1,3,1,47,0,0,0,0,0,0,163529,129341,106390,82181,79402,72121,4700,30002,20000,40000,35000,40000,0
180000,2,2,2,28,1,2,0,0,0,0,7445,1706,1600,0,22357,21541,0,1600,0,22357,1500,785,1
280000,2,1,2,29,0,0,0,0,0,0,1939,333,779,8029,8040,2979,333,779,8029,11,3129,138,0
320000,2,1,2,35,0,0,0,0,0,0,0,0,2500,0,0,0,0,2500,0,0,0,0,1
200000,2,2,1,30,1,0,0,0,0,0,26223,-137,73284,65428,65820,2859,0,73421,1309,392,2859,1250,0
160000,2,1,2,27,0,0,0,0,0,0,96441,98353,99864,101900,103924,106101,4406,4000,3699,3719,3851,3880,0
450000,2,1,1,46,0,0,0,0,0,0,28205,3760,4148,2312,6909,4189,3793,4148,2312,6909,4189,1539,1
360000,2,1,2,35,0,0,0,0,0,0,-3,-3,-3,-3,-3,597,0,0,0,0,600,590,0
160000,2,2,1,35,0,0,0,0,0,0,549,0,0,0,1893,0,0,0,0,1893,0,177,0
500000,1,1,1,37,0,0,2,0,0,0,474934,507062,491956,430637,376657,356636,40024,325,15296,12137,12312,14113,0
360000,2,3,1,53,0,0,0,0,0,0,0,208,2489,786,0,486,208,2489,786,0,486,150,1
320000,1,1,1,40,0,0,0,0,0,0,22155,10853,33968,86024,232017,15622,10908,34151,86466,232242,3199,7500,0
270000,2,2,2,29,0,0,0,0,0,0,62516,48770,47846,39772,35143,44371,1854,1952,1418,5000,14000,2500,0
180000,2,1,2,26,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0
350000,2,1,2,31,0,2,0,0,0,0,403,403,1351,4656,0,1190,0,1351,4677,0,1190,150,0
360000,2,1,2,32,0,0,0,0,0,0,166848,149903,138091,138123,140324,108772,7294,6135,4504,4669,4060,3475,0
420000,2,2,1,38,0,0,0,0,0,0,56107,53309,-11,51555,2093,5773,53400,0,51566,2093,5773,2984,0
190000,1,2,2,40,2,2,2,2,2,2,145613,156765,159386,161870,165725,169928,15000,6600,6500,6500,7000,7000,1
300000,2,1,2,26,0,0,0,0,0,0,10545,10421,15196,19406,23260,15423,3000,5000,5000,4000,5000,5000,0
160000,2,2,1,25,4,3,2,0,0,0,103398,100925,97701,99434,99527,16331,0,0,2321,432,546,550,0
280000,1,1,1,44,1,0,0,0,0,0,-136,-496,-856,-1216,-1576,4266,360,360,360,317,6252,8,0
160000,2,1,1,42,0,0,0,0,0,0,3607,4417,1058,2146,2534,2242,4417,1058,2146,2534,2242,2254,0
210000,1,1,2,28,1,0,0,0,0,0,0,0,0,0,0,8270,0,0,0,0,8270,0,0
270000,2,1,2,31,0,0,0,0,0,0,167428,168827,148031,92943,94464,92899,6155,5382,3270,3377,3329,3553,1
290000,2,2,2,43,0,0,0,0,0,0,170373,168738,103299,104583,106447,104045,5007,3500,3500,4000,4000,5000,0
160000,1,2,1,40,0,0,0,0,0,0,101782,102308,103620,98888,94288,97504,3710,4000,4000,3500,7200,0,0
200000,1,2,1,38,0,0,0,0,0,0,152856,156104,158279,161934,165447,168802,6000,5000,5000,5000,4917,10000,0
170000,2,2,2,31,2,0,0,0,0,0,520,1316,6779,3416,2941,3518,1339,6779,2000,97,1002,1018,0
200000,2,2,2,30,0,0,0,0,0,0,389,5889,389,389,389,389,5890,390,390,390,390,1168,0
280000,1,1,2,31,0,0,0,0,0,2,164736,170564,150666,133465,133536,132964,8833,12005,5000,8000,3000,5000,0
70000,2,3,1,47,0,0,0,0,0,0,71392,70757,71451,70654,70965,71373,3200,3400,2900,2750,3152,2700,0
440000,2,2,2,35,0,0,0,0,0,0,3091,3853,4012,821,821,821,1150,1084,821,821,821,821,0
390000,1,1,2,47,1,0,0,0,0,0,0,3760,0,0,123,0,3760,0,0,123,0,0,0
220000,2,1,1,32,1,2,0,0,2,2,17325,16758,18474,20667,20195,21854,0,2000,2500,0,2000,0,0
500000,1,1,1,54,0,0,0,0,0,0,493251,496315,480411,489978,493062,474301,18725,18000,17534,17649,18007,20000,0
330000,1,1,1,35,0,0,0,0,0,0,3888,14704,2533,10664,1560,34847,14782,2544,10715,1566,34865,7273,0
190000,2,2,1,40,0,0,0,0,0,0,124082,125032,129167,130331,132958,135814,4500,6147,4800,4800,5000,10600,0
340000,2,1,1,27,0,0,0,0,0,0,307650,0,0,495,495,1528,0,0,495,495,1528,3254,0
300000,1,1,2,30,0,0,0,0,0,0,237372,243409,250477,254808,260562,266200,10000,11000,10000,10000,10000,10000,0
160000,2,3,1,30,0,0,0,0,0,0,2215,8977,3300,10770,11800,10043,8977,1000,10770,11800,10043,5325,0
340000,2,3,2,28,0,0,0,0,0,0,1830,4777,7681,12519,15299,15905,3000,3000,5000,3000,1000,10000,0
250000,2,1,2,37,0,0,0,0,0,0,116861,97569,90937,87445,84268,80762,3424,3317,3023,2937,2931,3022,0
200000,1,1,2,42,0,0,0,0,0,2,163340,168701,172074,173907,184067,180612,8000,8000,6500,13500,0,7000,0
340000,1,2,1,40,0,0,0,0,0,0,147943,144543,146603,149519,151697,154499,5169,5333,5366,5550,7000,915,0
390000,2,1,1,48,1,0,0,0,0,0,0,5660,3730,9526,0,2680,5660,3730,9526,0,2680,200,0
